,tweet,existence,existence.confidence
2369,offici process danger collaps unless countri agre global warm break,Yes,0.6498
3873,laden join global warm doomsay fumento weblog archiv laden join,Yes,0.6702
2298,check video unravel string climat chang youtu gltgruqsv,Neutral,0.6467
1170,green cloud comput contribut climat chang environmentport,Yes,1.0
3939,global warm world fragrant azmqyj,Yes,0.5046
4822,worker yesterday blizzard peabrain chief announc global warm agenc,No,1.0
5447,minist onlin climat chang energi elect retwt,Neutral,0.7205
3227,paralyz global warm amplifi,Neutral,0.665
5298,global warm,Neutral,1.0
4328,global warm product report opalesqu commod brief daili updat cover,Yes,1.0
1074,senat prepar compromis climat chang reuter,Neutral,1.0
6065,horizon explor climat chang,Neutral,1.0
122,mountain valley temp stretch apart climat chang,Yes,0.8166
1255,global warm evid around messag global warm denier doubter around oohja xbhrx,Yes,1.0
1849,climat chang polici updat april tinyurl,Neutral,0.7090000000000001
609,germani import partner trade fight climat chang,Yes,0.7749
734,graham climat chang limbo,Neutral,1.0
4338,global warm becom global cool centuri,Yes,0.6557
3214,global warm climat scientist investig articl scienc explor mysteri oohja xbdcg,Neutral,0.6894
2280,whale save world global warm whale australian scientist oohja xbtfr,Yes,1.0
5164,ensur particip indigen peopl climat chang polici budzb,Yes,1.0
3758,resourc committe pass resolut deni exist climat chang still crazi,No,0.6672
4394,chicago report great global warm collaps chicagoan today stori,Yes,0.5599
4530,global climat still warm treehugg brian merchant brooklyn axqgbt,Yes,1.0
5005,climat chang activist delay unit nation,Neutral,1.0
3817,govern find climat chang govern climat wwfu,Yes,1.0
291,wonder impact volcano iceland climat chang,Neutral,0.5928
2787,climat chang freak wdyhe youth climat,No,0.5214
577,leak document call global regim tackl climat chang,Neutral,0.5873
2436,poverti climat chang visit voteglob event hust,Yes,0.6989
781,blankenship call effort safeti regul silli global warm labor union,No,0.5745
235,support world peopl confer climat chang cochabamba bolivia watch,Yes,0.6141
5975,global warm turn ash reuter come decad caus climat bpzmmb,Yes,0.6918
3152,snowstorm global warm make blizzard wors climat snowmageddon,Yes,0.669
5422,global warm fairi tinyurl krwusz bobsyouruncl,No,1.0
5819,evid malpractic scientist accus fabric global warm result inquiri find oohja xaoco,Neutral,0.3366
2904,latest climat chang blunder boldli where stupid befor,No,1.0
88,street corner global warm counsel certain element sunday washington myth,Yes,0.5670000000000001
2258,speak global warm palac theater earth fight oohja,Yes,1.0
975,climat give pollut nuclear break washington reuter climat chang expect,Neutral,1.0
594,scienc scientist explor evolut climat chang,Neutral,0.8084
1627,cope global warm util bill dealman post dealman actual,Yes,1.0
3470,anoth possibl global warm bapdnn globalwarm,No,1.0
4486,those think mean global warm templat stori stori storyid,Yes,0.6818
2877,matter believ global warm better money resourc,Neutral,1.0
608,allergi wors blame global warm,Yes,0.7837
4266,nevadan skeptic global warm statewid show percent nevadan think global oohja,No,0.6406
4341,daughter global warm twitgoo,Yes,0.6734
5419,global warm chapter american northeast winter rug fairli dpkcgh,Neutral,0.6855
2530,major issu secur global warm creation sustain,Yes,0.6864
5146,global warm keith staff columnist novemb hacker releas thousand oohja,No,1.0
4076,global warm small collect editori cartoon amus loesb,No,0.8123
2611,climat lesson gather clue climat chang lie gather scottish archiv,Yes,0.6952
3140,climat denial crock climat chang wwfu climat,Yes,1.0
877,energi energi headlin polic climat chang sceptic press canada,Neutral,1.0
343,iceland volcano like global warm cloud intensifi volcan erupt iceland,Yes,1.0
3038,india form climat chang anxybu justwrong,Yes,0.6539
5961,climat chang loser better buyer,No,0.7296
3609,month global warm mean drudg,Neutral,0.6829
1907,nasa chang fact guess thought wouldnt notic global warm climat chang xqitd,Yes,0.4594
876,postpartisan harri hapless immigr climat chang,Neutral,0.8282
3136,climat denial crock climat chang climat,Yes,1.0
3941,obama want global warm element dfnse strategi,Yes,0.6135
3365,consist global warm scientist telegraph bddtsb,Yes,1.0
2727,hous pass resolut impli climat chang conspiraci solveclim retwt,No,1.0
5056,great global warm collaps scienc scandal come climat chang oohja,No,0.6606
4243,msnbc ratigan blame snowpocalyps global warm,Neutral,1.0
1519,red architect theimer global warm doubter stupid jame theimer known local environment jkbvt,Yes,1.0
1716,senior technic advisor commun climat chang environ develop wyztrba,Yes,0.6482
4772,legislatur hous formal question global warm democrat vote oohja,Neutral,1.0
992,look california global warm,Neutral,0.6147
5636,climat chang ralli outnumb partier climateprogress global warm mean local storm,Yes,0.6643
5745,confer scientist challeng global warm,Neutral,0.6667
4884,revenu neutral climat chang legisl psimg,Yes,1.0
2846,purpos court prosecut crime human everyon behind global warm fraud belong court,No,1.0
3734,someon global warm connot higher physic temperatur pleas,Yes,1.0
3389,great analysi climat chang polici harvard robert stavin brggmf,Neutral,0.6318
1049,look climat chang go introduc senat monday,Neutral,1.0
522,global climat chang global warm,No,0.6295
1690,climat chang knowledg follow question tinyurl chang wppa,Neutral,0.5063
2187,climat chang still rank global issu,Yes,0.6364
3426,msnbc ratigan blame snowpocalyps global warm video snomg,Yes,0.6362
6025,weather channel promot global warm conspiraci theori avdhpt,No,0.6398
2262,gazel emami million tackl climat chang comedi premis million vivef,Yes,1.0
4154,climat chang legisl buri record snowfal capit thehil actaix climateg capntrad,Neutral,0.6623
1683,believ global warm intern conspiraci perpetr order condition,No,1.0
2534,state engin washington blog transport climat chang engin,Neutral,0.6505
3926,feder offic global warm,Neutral,0.6621
8,southern africa compet limpopo water climat chang bring higher temperatur south,Yes,1.0
2835,solar thermal applic solar power effect global warm,Yes,1.0
2330,indigenist edtrl viola wilkin mother earth bolivian presid blame capit global warm,No,0.6669
5747,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,No,0.5775
1313,amazon south america climat chang affect entir planet interview nikola kozloff twurl asgkwk,Yes,1.0
6085,phrase global warm abandon favor climat chang luntz,Yes,1.0
3062,tomorrow think global warm remain houston right rightblog teaparti,No,1.0
1652,boycott siemen buy global warm climat chang advertis teaparti,No,1.0
2466,valero want global warm boycottvalero,Yes,0.6384
5558,matter believ global warm better money resourc,Neutral,0.66
2996,detect question climat chang scientist email leak feder retwt,Neutral,1.0
557,secur nuclear energi climat chang solut,Yes,1.0
984,jessica brian climat chang,Neutral,0.8033
806,superb valentin gift kitchen scream climat chang clinic trial collagen,Neutral,1.0
5339,climat chang regul stupid thought wast disprov initi hypothosi idiot,No,1.0
5362,foxnew senat climat chang shift focu retwt,Neutral,0.6629999999999999
1196,economist climat chang economi earthday,Yes,0.6867
951,environment econom environmentalist climat chang suppos unveil,Neutral,1.0
3071,referendum british council spend million climat chang propaganda retwt,No,0.6996
4608,someon global warm snowdrift,Yes,1.0
1555,global warm blame european traffic collaps financi global warm alter european,Neutral,0.7036
2386,insle safeti silli global warm,No,0.6813
2015,global warm mobil phone,Neutral,1.0
5138,africa global warm lago group call africa group whose spoke person ethiopian leader mele oohja,Yes,0.6336
858,matter believ global warm better money resourc,Neutral,1.0
4653,geolog societi america reject global warm theori member speak,No,1.0
4580,innov climat chang deplet resourc,Yes,0.4928
1394,scenario immin apocalyps global warm ayqzo,Yes,0.5492
5810,make climat chang,Neutral,0.6997
2862,global warm cut tree plant chyuwu climat chang,Yes,1.0
5185,under obama probabl unless global warm denier,Yes,0.6553
3489,wildlif servic imperil climat chang time obama administr,Yes,0.6434
3602,global warm incoher strata sphere index archiv,No,0.6968
311,bring indigen voic convers about climat chang,Neutral,0.6076
3110,blizzard proof global warm foundri foundri promot conserv polici alkbn,Yes,0.4863
2045,greenhoof archiv tobacco climat chang akxgib,Neutral,0.6776
1848,minist climat chang energi elect debat polit retwt,Neutral,1.0
1345,forest conserv partnership climat chang leav group indigen popul bbuoo,Yes,0.6508
4692,climat chang activist delay unit nation,Neutral,0.657
3579,month global warm mean examin,Yes,0.6404
99,gener climat chang go screw,Yes,1.0
4980,bahuguna countri problem global warm emin social worker sundarl oohja,Yes,1.0
204,health industri nation alreadi impact climat chang report,Yes,1.0
3153,global warm snowiest winter broke record,No,1.0
4982,global warm movement known theridgewoodblog blogspot,No,1.0
1560,climat action report releas global warm unequivoc viigo,Yes,0.7158
6019,climat chang evid inconclus global warm global warm often market armageddo dmhshb,No,0.67
239,eyjafjallaj climat chang warm world could trigger earthquak landslid,Yes,0.6195
1592,mazmanian money need adapt climat chang state press social justic issu keston,Neutral,0.6705
4305,climat chang denier algor miliband fight,Yes,1.0
92,california brace climat chang,Yes,0.5121
3044,asfwmt believ global warm democrat idea influenc global warm,Neutral,1.0
4195,palin global warm snake former alaska governor dismiss climat chang research rgdfx,No,0.6223
1217,swedish expert caus global warm swedish climat expert goldberg oohja,Yes,0.6734
1868,matter believ global warm better money resourc,Neutral,1.0
5795,world renown expert hero environment movement come pittsburgh global warm confer bizwir,Neutral,1.0
5541,chief pachauri speak about climat chang skeptic glacierg retwt,Neutral,0.6554
4946,scienc polit death global warm,No,1.0
3893,ihatethemedia messag global warm scientist warner ihatethemedia,Yes,0.6957
5592,advanc studi effect manag climat chang lgroup partner,Yes,1.0
4675,flake global warm denier massiv snowstorm dvtsyu,Yes,0.687
1141,global warm scienc soil releas carbon though world warm,Yes,0.6233
3678,paper great global warm collaps drrein,No,0.6789
3805,agre lawmak climat chang control popul,No,0.7064
5809,question rais global warm newsdesk iwirenew american briton skeptic,Neutral,0.6746
5860,action figur tugboat global warm redey,No,0.469
2025,iceland volcano altern energi global warm,Neutral,0.6812
1854,updat energi energi headlin polic climat chang sceptic press,Neutral,0.6709
4248,blame global warm climat chang global cool stupid planet peopl natur,No,0.6976
33,scientif commun scame global green warm,No,0.9336
140,whale doodoo could fight climat chang,Yes,0.7868
5335,decis elect climat chang get retwt,Neutral,0.6706
5370,climat chang california academi scienc retwt,Yes,1.0
2066,ditch cardio rapid scream climat chang clinic trial collagen cliniqu,Neutral,1.0
4405,research articl global warm climat chang tinyurl,No,0.6709999999999999
3789,watch inch global warm,No,0.7133
3648,bet climat chang corpor stand billion planet realli warm aqtrqc,Neutral,1.0
4078,counti disput global warm otero counti commiss involv discuss citizen oohja,Neutral,0.6512
1610,global warm like worsen allergi main accord report releas today nationa,Yes,1.0
3253,right winger alreadi claim blizzard prove climat chang exist,Yes,1.0
4213,speak event today palin call global warm bunch snake scienc,No,0.4843
4081,interest liber congressman washington speech evil global warm hous chamber,No,0.6834
1514,ocean current still strong despit global warm research discov ocean current oohja xamox,Neutral,0.6729
2091,where roadblock climat chang clean energi legisl dbqhig,Yes,1.0
461,fight climat chang front,Yes,0.7904
2542,climat chang shown impact india leg anim behav sensibl,Yes,1.0
6029,explor discuss global warm renown polar explor adventur steger present program,Yes,0.7140000000000001
2667,negoti reinvigor climat chang talk english negoti gather,Yes,0.6558
1204,health industri nation alreadi impact climat chang report btyohc,Yes,1.0
2968,excit cochabamba world confer climat chang right mother earth,Yes,1.0
4430,great global warm collaps chicken littl crowd punish,No,0.7087
1028,sharifkoudd indigen group across bolivia arriv world peopl confer climat chang,Neutral,0.5873
3280,earthscan earthcast climat chang busi success,Yes,0.6795
4860,palin global warm studi snake former alaska sarah palin call studi support global climat oohja,No,0.6658
1728,climat lindsay graham support climat chang legisl chang today lindsey graham polit,Neutral,0.7824
29,eaarth global warm,Yes,1.0
673,global warm peopl degre content messag copyright properti author,No,0.7952
4239,earth polar sheet vulner moder global warm orlean southern,Yes,1.0
2887,india need research climat chang shyam saran retwt,Neutral,1.0
3631,rate youtub video star snobama blast obama global warm youtu fdnwozechjg,No,1.0
5149,guardian daili climat scienc sieg consensu climat chang come sustain attack oohja,Neutral,1.0
5204,speech mayb would climat chang complet,No,0.6778
2418,anglia climat chang email report clear wrongdo mention climat chang sinc elect call,Yes,0.6229
3386,watchdog press enabl global warm,No,1.0
5272,ironi defici faith fret about climat chang newsbust retwt,Yes,1.0
4022,scienc scandal come climat chang movement,No,1.0
5389,video moral open climat chang confer tiquipaya environ retwt,Neutral,1.0
164,global warm ocean chemistri chang faster year carbon,Yes,1.0
3198,idea toyoto safeti engin climat chang,Neutral,0.6421
1810,skirmish renew global warm confer climat talk nearli ground began oohja xadjk,Neutral,0.6392
2838,there climat crisi global warm auupbl global warm,No,1.0
3517,pale global warm exist,No,0.6842
678,despit climateg invest heavili global warm hysteria impos intern control human freedom,No,0.7994
149,heard interest report report understand climat chang climat variabl influenc human evolut dispers,Neutral,0.8009
3839,would thank snowpocalyps ruin birthday plan where global warm,No,0.7136
2751,globe columnist exagger signific error climat scientist climat chang pembina bztyjc,Yes,0.6741
562,photo someon climat chang,Yes,0.8320000000000001
3157,snowstorm global warm make blizzard wors yahoo,Yes,1.0
23,leader nation indigen women climat chang climat live gdzrw,Yes,1.0
4200,sinc climat chang lotteri,Yes,0.6762
5619,olbermann blame mental condit global warm cnsnew articl,Neutral,0.6698
956,watch cite media research center studi global warm coverag,Neutral,1.0
1955,retun scream climat chang clinic trial collagen cliniqu cloth,Neutral,0.6486
4033,cambio poblaci global warm skeptic final latin america climatechang,No,1.0
1302,mert tedxvolcano strand weekend get sneak preview climat chang adapt,Yes,1.0
4347,googl empow climat chang movement instead curs huffington,Yes,0.6973
5413,understand climat model emic susann weber explain wire climat chang advanc review,Yes,0.6823
4512,climat chang watch india pollut control,Yes,1.0
2597,japan cherri blossom threat climat chang,Yes,1.0
47,despit climateg invest heavili global warm hysteria impos intern control human freedom,Neutral,
3625,colleg cours foster cross cultur understand climat chang,Yes,0.7190000000000001
3895,execut climat chang affect estat demand lebanon fakra,Neutral,0.6051
5899,global warm ballot initi teamster citi weigh california teamster state amybo,Neutral,0.6346
3133,thing global warm snowpocalyps snowmaggedon,No,1.0
2841,foxnew administr propos agenc studi climat chang retwt,Yes,0.6709999999999999
2408,thanx enjoy weather break global warm,No,1.0
5118,facil expect clarifi ecosystem respons climat chang ridg nation laboratori oohja,Yes,1.0
711,immigr reform climat chang issu senat,Neutral,0.7857
3585,naomi klein cspan climat chang caus island extinct within year,Yes,1.0
4420,ridley climateg spectat spectat print polit global warm guerrilla thtml,No,1.0
2666,utterli superb krugman explan econom fight climat chang,Yes,1.0
2323,earth talk illumin scienc climat chang artist scientist speak,Neutral,0.4945
3700,snowpocalyps remind redoubl effort fight anthropogen global warm,Yes,0.6574
2720,foxnew state virginia investig global warm scientist dxyjh climateg climaterealist climatedepot,Neutral,0.6635
563,climat action report releas global warm unequivoc treehugg brian merchant brooklyn,Yes,1.0
1107,combat climat chang lesson world indigen peopl tinyurl eatpb,Yes,0.7204
5960,iceland volcano caus global warm planetgreen discoveri video planet climat induc volcano,Neutral,0.6644
3041,astronaught post beauti maldiv space twitpic island impact climat chang,Yes,1.0
3450,feder offic global warm jennif haberkorn washington time boorlk climateg,Yes,0.4678
2087,global warm confer sunday robert bullard known father environment justic oohja,Yes,0.6522
1339,mention global warm denialist send finnish newspap articl purportedli refut,Yes,0.6702
805,go after health democrat still legisl reform climat chang immigr,Neutral,0.7918
2954,climat chang research bungl telegraph retwt,Neutral,1.0
1192,rebecca solnit degre insepar about about climat chang,Yes,0.6928
1760,cnnbrk graham imperil immigr climat chang bill cnnbrk,Neutral,0.6832
3911,california statewid network monitor global warm gase,Neutral,0.6451
40,flaw comput model global warm,Neutral,
5416,buy carbon offset guilt global warm tinyurl bobsyouruncl,Yes,0.6762
4550,florida agenc global warm alert climat,Yes,0.7038
3808,climat chang,Neutral,1.0
817,brilliant valentin scream climat chang clinic trial collagen cliniqu,Neutral,1.0
558,global warm eyjafjoel volcano trigger global warm,Yes,1.0
1307,climat chang place befor disappear america photo,Yes,0.6890000000000001
1333,coalit tire wait fight climat chang ground level,Yes,0.69
4084,india form climat chang dfuzgc,Neutral,1.0
4872,anatomi collaps great gobal warm scandal global warm,No,1.0
3900,approach inspir other small step toward transform chang jehsm environ climat,Yes,0.6735
5949,global warm natur disast would affect live issu children,Neutral,0.6702
3633,inhof famili blizzard littl expens global warm apnplv,No,0.6928
1876,postpartisan harri hapless immigr climat chang,Neutral,0.4758
2364,peopl world confer climat chang april peopl countri,Neutral,1.0
3778,funni wrote column winter global warm,No,0.5071
442,global warm allergi wors million american hit asthma hardest climatewir globalwarm,Yes,1.0
1340,nation energi industri necessari fight global warm,Yes,1.0
5877,warm global warm kiddo florida think newyork wait,No,0.4665
1233,barrett better small protocol climat chang push comprehens,Yes,1.0
1553,video get focu climat chang,Neutral,0.6513
803,go after health democrat still legisl reform climat chang immigr,Neutral,1.0
1173,moral climat chang lesson indigen peopl cochabamba cmpcc,Neutral,0.6809
1735,legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl dcsxsw,Neutral,1.0
2204,gerhardt bolivia peopl confer call system chang climat chang,Neutral,0.6895
1819,peopl world referendum climat chang,Neutral,1.0
2506,human global warm destroy angel climat changehttp cuepqb,Yes,1.0
909,suprem court nomin climat chang debat,Neutral,0.8042
3111,besid point peopl act winter storm atlant disprov global warm,Yes,1.0
5976,global warm alarm time world run short pollut,Yes,1.0
1739,legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl dcsxsw,Neutral,1.0
3571,complain tuesday anoth inch come notic global warm late,No,0.7062
4924,outlaw global warm through,Neutral,0.6393
4766,hanniti storm contradict hyster global warm theori alqzcv,No,0.7119
4369,global warm undeni interest peski fact scienc,No,1.0
1674,freez still southern california global warm fanat visit glove jacket,No,1.0
1372,china activ seriou tackl climat chang presid humani retwt,Yes,1.0
1970,climat place senat disput await climat chang legisl cjlxu,Yes,0.6563
3552,across nation reorgan provid global warm obama administr launch cipdtr,Neutral,0.6928
1500,conserv intern help prevent climat chang provid habitat endang speci dcusyt,Yes,1.0
1543,bolivian presid blame capit global warm environ servic cochabamba bolivia april bcyz,Yes,0.6917
387,action protect wildlif habitat climat chang,Yes,1.0
2286,bolivia climat confer demand combat global warm creation climat court tiquipaya bolivia oohja xbrol,Yes,0.6301
4647,great extent climat weather inde weather pattern predict chang,Yes,0.7049
3446,obama want creat feder offic global warm start,No,0.6782
709,school climat chang panel heritag david kreutzer ask audienc throw water bottl,Neutral,0.8278
1033,global warm expect monday senat kerri lindsey graham joseph lieberman expect,Neutral,1.0
3619,could seriouli believ global warm,No,1.0
1041,global warm balanc quot there say oxburgh inquiri,Neutral,0.6212
6018,global warm miss return scientist account roughli believ acebnw,No,0.6694
1937,kerri action climat remain like democrat sponsor climat chang legisl,Yes,0.6473
2941,olymp organis desper climat chang humanitarian retwt,Yes,0.695
3069,climat chang blast greenpeac washington examin retwt,Yes,0.6595
3395,improv adventur climat chang check,Yes,0.6495
1887,climat scientist newspap poison global warm debat,Yes,0.655
5390,leader debat answer climat chang environ guard retwt,Neutral,0.6736
4488,articl mention climat chang midway articl total buri journal climat,No,0.5127
5424,cochabamba water climat chang retwt,Neutral,1.0
5299,climat chang mean industri wire scienc wire retwt,Yes,1.0
2167,sudden global warm speech someth,No,0.643
1632,vacat spot becom endang landscap threaten global warm mine weather environment hazard popul,Yes,1.0
2753,globe columnist exagger signific error climat scientist climat chang pembina optc,No,0.3755
1532,fix global warm china,Yes,0.6535
1304,larri brilliant tedxvolcano fight scienc singl import thing climat chang socent green,Yes,1.0
2834,feder climat chang agenc form govern retwt,Neutral,0.6922
4915,feder climat chang agenc announc,Yes,0.6655
2245,church climat chang yuval levin corner nation review onlin aehskd,Neutral,0.6401
3289,morn obama buy shovel shovel readi global warm around white hous,No,0.6779999999999999
4051,preach climat chang want evid there libpoem,No,1.0
3982,anymor global warm climat chang,No,0.648
4150,climat chang skeptic receiv check exxonmobil newspap exxonmobil world lzqci,Yes,0.775
5781,confer ridg environment center focus climat chang mass representativ,Neutral,1.0
5276,charli crist independ candidaci result mental ill caus global warm,Yes,0.5223
2464,global warm unemploy choos disast jacob compani produc greenhous gase,Neutral,0.6851
4839,palin global warm snake bcvjii,Neutral,0.6923
3988,unfollow idiot global warm cartoon trite,No,0.6591
2643,make progress chanc forg bind agreement climat chang small,Yes,0.3542
1556,republican oppos global warm environment realli make sens oppos effort,Yes,1.0
4067,global warm finest,Neutral,0.6667
5414,climat chang increas poverti vulner ethiopia retwt,Yes,1.0
2785,neighbor inspir action climat chang ghost midnight retwt,Yes,1.0
4232,palin call global warm research snake scienc truthdig dure speech log ddqbpl,No,0.6404
1891,keep migrain scream climat chang clinic trial collagen cliniqu,Neutral,0.6921
2514,nasa chang fact guess thought wouldnt notic global warm climat chang xqitd,Yes,0.6594
1220,tackl climat chang energi,Yes,1.0
286,overview green revolut go green increas awar threat global warm,Yes,1.0
2054,christi global warm chri christi take million entir alloc beyhib,Neutral,1.0
251,biologist link earli bloom global warm associ press april steven point,Yes,0.8026
1001,smile climat chang human health studi bethesda april nation insti,Yes,0.6362
5019,atmospher carbon dioxid caus climat chang neg affect marin environ,Yes,1.0
5432,confirm global warm bybyq,Yes,0.6362
4108,climat chang enough cultur chang harvard univers schultz,Yes,1.0
4077,india form climat chang dzwsbx climateg warmer,Yes,0.667
2084,religi climat chang,Yes,0.5869
3371,brain freez conserv media still use winter weather attack global warm nkecc noisemachin climat,Yes,0.6646
671,comput forens expert still idiot beliv global warm,No,1.0
2446,minist climat chang energi elect debat,Neutral,1.0
3131,chicken littl fall global warm fall redey,No,0.6445
5990,mcewan take global warm solar tales doubleday page mcewan oohja xaaqa,No,0.7053
1732,climat chang stall immigr sorti,Neutral,1.0
1658,rationalist believ alien exist global warm caus human might believ jesu miracl angel fairi,No,1.0
3761,idea chang compet reach vote aoujgj climat,Neutral,0.6759
5690,bolivia climat chang talk voic guardian indigen cochabamba cmpcc,Neutral,0.6765
1496,research track climat chang,Yes,0.5865
421,allergi wors blame global warm,Yes,0.7953
2972,rajendra pachauri climat chang panel clock million mile travel retwt,Yes,0.6788
1056,global warm measur account miss,Neutral,0.6229
2734,democrat blizzard make global warm think,No,0.6643
4169,scienc report stupid think global warm make blizzard wors drudg oxilz,No,1.0
198,climat chang account,Yes,1.0
2000,christian methodist clergi listen member climat chang,Yes,0.6818
1846,gather whiten teeth scream climat chang clinic trial collagen cliniqu czfmhd,Neutral,1.0
5582,governor christi million global warm brylo awesom,No,0.6768
5953,global warm caus volcano erupt iceland eyjafjallajokul everyon discuss caus jhuxw,Neutral,0.6615
3616,realli amaz shovel global warm sidewalk driveway algor snomg,No,0.6809
2174,climat chang still rank global issu,Yes,0.6677
2341,pomona host global warm meet pomona colleg host resid greater angel saturday oohja xblv,Yes,0.6082
5823,believ evid climat chang caus earthquak volcano wefhm,Yes,1.0
3453,obligatori blizzard rearrang climat chang announc,Neutral,1.0
2852,issu guidanc disclosur relat climat chang bmfnfi energi,Neutral,0.6666
5456,beaver fight effect climat chang global warm discov retwt,Yes,1.0
1253,global warm evid around messag global warm denier doubter around oohja xbhwq,Yes,0.9241
1790,earth polit final erupt caus global warm earth polit final erupt,Yes,0.6365
5199,climat chang fanat corrupt scienc michael baron gopusa anasc,No,1.0
1489,climat chang indic report show evid global warm natur resourc defens counc,Yes,1.0
3701,discredit global warm alarmist european govern come increa dubji,No,0.3614
1581,cleaner could speed global warm,Yes,1.0
3273,specif learn school winter disprov summer snowstorm disprov climat chang,Yes,1.0
465,rejoic time mention rel articl adapt agricultur climat chang,Yes,1.0
4218,version climat chang recalcul watch version foratv longnowfound,Yes,0.5281
390,protect wildlif habitat climat chang,Yes,1.0
1457,fight climat chang front climatechang saveterra,Yes,1.0
1953,podcast climat chang immigr reform california point,Neutral,1.0
3068,predict futur climat chang sediment retwt,Yes,1.0
4252,obama creat climat servic govern busi adapt climat chang obama live anoth planet,No,1.0
1440,report claim climat chang blame increas allergi,Yes,1.0
1021,california global warm money campaign delay,Neutral,1.0
4183,budget commit improv energi effici greenhous emiss climat chang,Neutral,0.6432
1539,earth climat chang supercomput,Yes,0.6283
1449,lead schumach colleg mobilis democraci tackl climat chang,Yes,1.0
2613,green capit profit solut climat chang climat climatechang,Yes,1.0
4849,feder agenc studi global warm alreadi,No,1.0
5494,migrat climat chang environ independ retwt,Yes,0.6602
2844,obama start agenc climat chang nation chron houston chronicl retwt,Yes,0.6566
59,scientifiqu present global warm april scientifiqu present,Neutral,0.8264
1911,great tole climat chang cartoon,Neutral,0.6644
2958,climat chang impact vulner eastern himalaya indigen peopl issu odxhp,Yes,1.0
5420,worri climat chang stupid,Yes,0.6291
4005,stupid peopl think these winter storm mean there thing global warm stupid,Yes,1.0
1529,spring come earlier climat chang huffingtonpost spring come,Yes,1.0
1507,renew energi advanc ocean salti show global warm after pull million salin,Yes,1.0
2096,remind studi temperatur attitud climat chang dwhigw,Neutral,0.6679999999999999
173,moral climat chang lesson indigen peopl,Neutral,0.6088
5742,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Yes,0.6717
2092,where roadblock climat chang clean energi legisl dbqhig,Yes,0.6417
4561,extend cassini saturn focu season climat chang,Yes,0.632
4938,georg perkin clean energi vital reduc global warm creat pollut editor oohja,Yes,1.0
4310,farm organ could climat chang thing organ farm muvox,Yes,1.0
5681,climat scientist clear scientist climat scandal attempt chang global warm,No,0.5075
2550,humid summer run pleas minimis effect global warm abnorm weather chang,Yes,1.0
2473,local section read enjoy season stack global warm book tri messag,Neutral,0.6531
4820,excel british climat chang stupid america saturday discoveri channel planet green,Yes,0.6815
1051,cuccinelli file motion forc reopen global warm find virginia attorney gener cuccinelli,Neutral,1.0
1682,gagnon liber dupe global warm socialist propaganda,No,1.0
19,research track climat chang,Yes,0.5194
611,subtropoli creativ solut global warm ground,Yes,0.7872
4153,fear seek control econom higher tax social guilt mandat child obes global warm,No,0.6904
1809,climat chang report project involv slate wire atlant mother jone satisfi editor,Yes,0.7114
2384,better monitor climat chang africa involv farmer collex sustain climat,Yes,1.0
1492,cleaner could speed global warm,Yes,1.0
895,earth carol browner director offic energi climat chang polici obama admin,Neutral,0.7894
1349,climat chang threaten glacier nation montana economi examin,Yes,1.0
979,global warm heart earth thousand perhap million consciou action,Neutral,0.5704
1976,global warm ombudsman eurasia review sonali huria global warm purportedli dyvnuz,Neutral,1.0
924,industri insid michaelangelo acqua global warm michaelangelo acqua first enter stake,Neutral,1.0
2315,jason jame center climat chang consequ singl plastic bnkzqx earthday,Yes,0.7152
2371,scientist global warm caus world ocean thing justin bieb,Yes,0.6476
5569,greenway communiqu climat chang ski advert retwt,Neutral,0.6931
5061,climat chang panel clock million mile travel telegraph,Neutral,0.6961
2273,still america midst thread global warm troll chide staci,Neutral,0.6491
2,carbon offset vatican forest fail reduc global warm,Yes,0.8786
2915,public lose faith climat chang scienc leak email scandal environ guardian retwt,No,0.6894
1523,cubeyond wlliam climat chang happen matter caus chapmanu,Yes,1.0
4059,phoni climat chang agenda australia forc expens inspect abuoy,Neutral,0.6535
1257,global warm iceland volcano angri melt glacier around world could trigger global oohja xbhgq,Yes,1.0
396,greenpeac global warm involv greenpeac,Yes,0.9174
1777,climat scienc chines whisper book separ global warm fiction cultur shock oohja,No,0.4858
1811,skirmish renew global warm confer climat talk nearli ground began oohja xadeo,Neutral,0.6683
3562,global warm mean shovelreadi,Yes,0.6648
2173,make climat chang releas glossi report american sens clima,Yes,1.0
4233,nevadan skeptic global warm vega statewid show percent nevadan oohja,Neutral,0.667
796,maria rodal climat chang exist matter amaz realli differ view,Neutral,0.5799
5330,develop nation climat chang treati humanitarian retwt,Yes,0.6459999999999999
3589,video contest mention climat chang built exchang connect,Neutral,1.0
3427,research studi climat chang chase stream great lake brvmlt habitat scienc,Yes,1.0
5555,scientist global warm caus world ocean thing justin bieber go drown,Yes,0.6511
3102,geman argument climat chang,Yes,0.6842
4147,winter disprov global warm summer prove,Yes,1.0
104,global warm kill forest colorado,Yes,1.0
5483,miss affect futur climat chang humanitarian retwt,Yes,1.0
3513,great piec month global warm mean aeticg teaparti,No,0.4947
5915,bonnaroo download album climat chang musicforact,Yes,0.6539
677,climat chang fraud global warm ethanol,No,0.8526
2875,climat chang denier momentum retwt,No,0.6604
990,guardian climat scientist newspap poison global warm debat,Neutral,0.5054
